Date, Close/Last, Volume, Open, High, Low
03/03/2017, 1938, 10, 1999, 1999, 1999
03/02/2017, 2000.75, N/A, 2000.75, 2000.75, 2000.75
03/01/2017, 2046.75, N/A, 2046.75, 2046.75, 2046.75
02/28/2017, 2020.25, N/A, 2020.25, 2020.25, 2020.25
02/27/2017, 1996.25, 60, 1996.25, 1996.25, 1996.25
02/24/2017, 1981.25, N/A, 1981.25, 1981.25, 1981.25
02/23/2017, 1961.5, 10, 1967.75, 1967.75, 1967.75
02/22/2017, 1985.5, 10, 1985.5, 1985.5, 1985.5
02/21/2017, 1986.75, N/A, 1986.75, 1986.75, 1986.75
02/17/2017, 1980.75, 20, 1980, 1983.75, 1980
02/16/2017, 1996.25, N/A, 1996.25, 1996.25, 1996.25
02/15/2017, 2012.25, 30, 1997.25, 2006.75, 1996.25
02/14/2017, 1990.25, 24, 2003.25, 2003.25, 2003.25
02/13/2017, 1968, 45, 1981.25, 1981.25, 1970.25
02/10/2017, 1970.75, 73, 1961.25, 1970.75, 1961.25
02/09/2017, 1951.75, 34, 1956.75, 1956.75, 1950.25
02/08/2017, 1950, 150, 1945.25, 1945.25, 1944.25
02/07/2017, 1934, 20, 1930, 1930, 1927.75
02/06/2017, 1946, 8, 1926.25, 1936.5, 1926.25
02/03/2017, 1935, N/A, 1935, 1935, 1935
02/02/2017, 1930.25, N/A, 1930.25, 1930.25, 1930.25
02/01/2017, 1920.75, 20, 1912.25, 1915, 1912.25
01/31/2017, 1923, 1, 1909.5, 1909.5, 1909.5
01/30/2017, 1910, 30, 1914.25, 1914.25, 1910
01/27/2017, 1921.25, N/A, 1921.25, 1921.25, 1921.25
01/26/2017, 1927.25, 31, 1937, 1937, 1925
01/25/2017, 1946, 40, 1948.5, 1964.25, 1938.25
01/24/2017, 1978.75, 29, 1957, 1983.25, 1957
01/23/2017, 1962.5, 2, 1962.75, 1962.75, 1962.75
01/20/2017, 1962, 115, 1947.25, 1956.75, 1934.75
01/19/2017, 1946.25, 122, 1942.25, 1946.25, 1925
01/18/2017, 1957.75, 36, 1947.25, 1947.25, 1928.5
01/17/2017, 1911.5, 12, 1916.75, 1916.75, 1909.75
01/13/2017, 1904.5, N/A, 1904.5, 1904.5, 1904.5
01/12/2017, 1886.5, N/A, 1886.5, 1886.5, 1886.5
01/11/2017, 1858.75, 10, 1854.75, 1854.75, 1854.75
01/10/2017, 1842.75, N/A, 1842.75, 1842.75, 1842.75
01/09/2017, 1820.25, N/A, 1820.25, 1820.25, 1820.25
01/06/2017, 1803, 44, 1790.75, 1791, 1790
01/05/2017, 1803.25, 26, 1803.25, 1803.25, 1803.25
01/04/2017, 1786.75, 10, 1786.75, 1786.75, 1786.75
01/03/2017, 1785.5, N/A, 1785.5, 1785.5, 1785.5
12/30/2016, 1787, N/A, 1787, 1787, 1787
12/29/2016, 1787, N/A, 1787, 1787, 1787
12/28/2016, 1804.75, N/A, 1804.75, 1804.75, 1804.75
12/27/2016, 1822.5, N/A, 1822.5, 1822.5, 1822.5
12/23/2016, 1822.5, N/A, 1822.5, 1822.5, 1822.5
12/22/2016, 1822.5, N/A, 1822.5, 1822.5, 1822.5
12/21/2016, 1822.5, N/A, 1822.5, 1822.5, 1822.5
12/20/2016, 1822.5, N/A, 1822.5, 1822.5, 1822.5
12/19/2016, 1816, 14, 1814.25, 1817.75, 1814.25
12/16/2016, 1827.75, 10, 1835.5, 1835.5, 1835.5
12/15/2016, 1849, N/A, 1849, 1849, 1849
12/14/2016, 1848.25, 5, 1839.5, 1839.5, 1839.5
12/13/2016, 1846.5, 1, 1848.25, 1848.25, 1848.25
12/12/2016, 1841, N/A, 1841, 1841, 1841
12/09/2016, 1855.75, N/A, 1855.75, 1855.75, 1855.75
12/08/2016, 1829.25, 25, 1823.5, 1839.25, 1823.5
12/07/2016, 1818.75, 5, 1833, 1833, 1833
12/06/2016, 1826, 40, 1821.5, 1836.25, 1821.5
12/05/2016, 1862.25, N/A, 1862.25, 1862.25, 1862.25
12/02/2016, 1844.25, 60, 1834.25, 1839.75, 1833.25
12/01/2016, 1845, 40, 1842, 1848.25, 1842
11/30/2016, 1861.5, 60, 1848.25, 1861.5, 1848.25
11/29/2016, 1841, 28, 1847.25, 1847.25, 1837.75
11/28/2016, 1877.5, 18, 1885, 1885, 1874.5
11/25/2016, 1866.5, 5, 1866.5, 1866.5, 1866.5
11/23/2016, 1895.25, N/A, 1895.25, 1895.25, 1895.25
11/22/2016, 1879.25, 20, 1858.25, 1880, 1858.25
11/21/2016, 1844.75, 60, 1845.75, 1845.75, 1833.25
11/18/2016, 1828, 70, 1824.75, 1836.75, 1819.75
11/17/2016, 1809.5, 10, 1812.75, 1819.75, 1812.75
11/16/2016, 1814, N/A, 1814, 1814, 1814
11/15/2016, 1850.5, 10, 1836.5, 1836.5, 1834
11/14/2016, 1850.5, 20, 1857.25, 1858.25, 1844.75
