Date 	Price 	Open 	High 	Low 	Vol. 	Change %
Jun 20, 2018 	888.16 	888.16 	888.16 	888.16 	- 	-0.40%
Jun 19, 2018 	891.70 	891.70 	891.70 	891.70 	- 	-0.35%
Jun 18, 2018 	894.81 	894.81 	894.81 	894.81 	- 	-0.88%
Jun 15, 2018 	902.79 	902.79 	902.79 	902.79 	- 	0.09%
Jun 14, 2018 	901.96 	901.96 	901.96 	901.96 	- 	0.29%
Jun 13, 2018 	899.38 	899.38 	899.38 	899.38 	- 	-0.35%
Jun 12, 2018 	902.57 	902.57 	902.57 	902.57 	- 	-0.19%
Jun 11, 2018 	904.25 	904.25 	904.25 	904.25 	- 	0.92%
Jun 08, 2018 	896.04 	896.04 	896.04 	896.04 	- 	0.31%
Jun 07, 2018 	893.27 	893.27 	893.27 	893.27 	- 	1.22%
Jun 06, 2018 	882.48 	882.48 	882.48 	882.48 	- 	0.59%
Jun 05, 2018 	877.29 	877.29 	877.29 	877.29 	- 	-0.16%
Jun 04, 2018 	878.71 	878.71 	878.71 	878.71 	- 	0.20%
Jun 01, 2018 	876.93 	876.93 	876.93 	876.93 	- 	0.78%
May 31, 2018 	870.15 	870.15 	870.15 	870.15 	- 	0.18%
May 30, 2018 	868.59 	868.59 	868.59 	868.59 	- 	0.41%
May 29, 2018 	865.01 	865.01 	865.01 	865.01 	- 	-0.11%
May 28, 2018 	865.98 	865.98 	865.98 	865.98 	- 	0.37%
May 25, 2018 	862.83 	862.83 	862.83 	862.83 	- 	-1.09%
May 24, 2018 	872.30 	872.30 	872.30 	872.30 	- 	-0.92%
May 23, 2018 	880.40 	880.40 	880.40 	880.40 	- 	-0.98%
May 22, 2018 	889.10 	889.10 	889.10 	889.10 	- 	-0.41%
May 21, 2018 	892.80 	892.80 	892.80 	892.80 	- 	0.00%
May 18, 2018 	892.80 	892.80 	892.80 	892.80 	- 	0.70%
May 17, 2018 	886.63 	886.63 	886.63 	886.63 	- 	0.00%
May 16, 2018 	886.63 	886.63 	886.63 	886.63 	- 	0.23%
May 15, 2018 	884.62 	884.62 	884.62 	884.62 	- 	0.57%
May 14, 2018 	879.59 	879.59 	879.59 	879.59 	- 	-0.42%
May 11, 2018 	883.32 	883.32 	883.32 	883.32 	- 	-0.13%
May 10, 2018 	884.47 	884.47 	884.47 	884.47 	- 	0.00%
May 09, 2018 	884.47 	884.47 	884.47 	884.47 	- 	0.45%
May 08, 2018 	880.53 	880.53 	880.53 	880.53 	- 	0.14%
May 07, 2018 	879.30 	879.30 	879.30 	879.30 	- 	1.05%
May 04, 2018 	870.15 	870.15 	870.15 	870.15 	- 	0.03%
May 03, 2018 	869.85 	869.85 	869.85 	869.85 	- 	-0.87%
May 02, 2018 	877.47 	877.47 	877.47 	877.47 	- 	1.13%
May 01, 2018 	867.69 	867.69 	867.69 	867.69 	- 	0.00%
Apr 30, 2018 	867.69 	867.69 	867.69 	867.69 	- 	-0.12%
Apr 27, 2018 	868.75 	868.75 	868.75 	868.75 	- 	-0.08%
Apr 26, 2018 	869.46 	869.46 	869.46 	869.46 	- 	2.88%
Apr 25, 2018 	845.14 	845.14 	845.14 	845.14 	- 	-2.42%
Apr 24, 2018 	866.10 	866.10 	866.10 	866.10 	- 	0.12%
Apr 23, 2018 	865.06 	865.06 	865.06 	865.06 	- 	0.44%
Apr 20, 2018 	861.26 	861.26 	861.26 	861.26 	- 	-0.57%
Apr 19, 2018 	866.19 	866.19 	866.19 	866.19 	- 	0.33%
Apr 18, 2018 	863.35 	863.35 	863.35 	863.35 	- 	1.37%
Apr 17, 2018 	851.65 	851.65 	851.65 	851.65 	- 	-0.17%
Apr 16, 2018 	853.06 	853.06 	853.06 	853.06 	- 	-0.49%
Apr 13, 2018 	857.24 	857.24 	857.24 	857.24 	- 	0.13%
Apr 12, 2018 	856.15 	856.15 	856.15 	856.15 	- 	-0.27%
Apr 11, 2018 	858.46 	858.46 	858.46 	858.46 	- 	-0.03%
Apr 10, 2018 	858.68 	858.68 	858.68 	858.68 	- 	1.44%
Apr 09, 2018 	846.52 	846.52 	846.52 	846.52 	- 	0.43%
Apr 06, 2018 	842.88 	842.88 	842.88 	842.88 	- 	-0.88%
Apr 05, 2018 	850.39 	850.39 	850.39 	850.39 	- 	2.12%
Apr 04, 2018 	832.75 	832.75 	832.75 	832.75 	- 	-1.34%
Apr 03, 2018 	844.02 	844.02 	844.02 	844.02 	- 	1.10%
Apr 02, 2018 	834.86 	834.86 	834.86 	834.86 	- 	0.00%
Mar 30, 2018 	834.86 	834.86 	834.86 	834.86 	- 	0.00%
Mar 29, 2018 	834.86 	834.86 	834.86 	834.86 	- 	0.00%
Mar 28, 2018 	834.86 	834.86 	834.86 	834.86 	- 	0.01%
Mar 27, 2018 	834.80 	834.80 	834.80 	834.80 	- 	0.89%
Mar 26, 2018 	827.44 	827.44 	827.44 	827.44 	- 	-0.20%
Mar 23, 2018 	829.13 	829.13 	829.13 	829.13 	- 	0.77%
Mar 22, 2018 	822.82 	822.82 	822.82 	822.82 	- 	-1.19%
Mar 21, 2018 	832.74 	832.74 	832.74 	832.74 	- 	0.37%
Mar 20, 2018 	829.68 	829.68 	829.68 	829.68 	- 	0.39%
Mar 19, 2018 	826.47 	826.47 	826.47 	826.47 	- 	-1.27%
Mar 16, 2018 	837.07 	837.07 	837.07 	837.07 	- 	0.21%
Mar 15, 2018 	835.33 	835.33 	835.33 	835.33 	- 	-0.46%
Mar 14, 2018 	839.20 	839.20 	839.20 	839.20 	- 	-0.76%
Mar 13, 2018 	845.63 	845.63 	845.63 	845.63 	- 	0.16%
Mar 12, 2018 	844.32 	844.32 	844.32 	844.32 	- 	-0.05%
Mar 09, 2018 	844.78 	844.78 	844.78 	844.78 	- 	0.20%
Mar 08, 2018 	843.12 	843.12 	843.12 	843.12 	- 	0.23%
Mar 07, 2018 	841.18 	841.18 	841.18 	841.18 	- 	-0.77%
Mar 06, 2018 	847.68 	847.68 	847.68 	847.68 	- 	1.84%
Mar 05, 2018 	832.33 	832.33 	832.33 	832.33 	- 	1.03%
Mar 02, 2018 	823.83 	823.83 	823.83 	823.83 	- 	-1.90%
Mar 01, 2018 	839.75 	839.75 	839.75 	839.75 	- 	-1.31%
Feb 28, 2018 	850.88 	850.88 	850.88 	850.88 	- 	-0.10%
Feb 27, 2018 	851.76 	851.76 	851.76 	851.76 	- 	-0.32%
Feb 26, 2018 	854.49 	854.49 	854.49 	854.49 	- 	-0.28%
Feb 23, 2018 	856.89 	856.89 	856.89 	856.89 	- 	1.14%
Feb 22, 2018 	847.26 	847.26 	847.26 	847.26 	- 	-0.34%
Feb 21, 2018 	850.11 	850.11 	850.11 	850.11 	- 	0.36%
Feb 20, 2018 	847.03 	847.03 	847.03 	845.48 	- 	0.18%
Feb 19, 2018 	845.48 	845.48 	845.48 	845.48 	- 	-0.63%
Feb 16, 2018 	850.80 	850.80 	850.80 	850.80 	- 	1.00%
Feb 15, 2018 	842.39 	842.39 	842.39 	842.39 	- 	0.98%
Feb 14, 2018 	834.19 	834.19 	834.19 	834.19 	- 	-0.62%
Feb 13, 2018 	839.39 	839.39 	839.39 	839.39 	- 	0.15%
Feb 12, 2018 	838.15 	838.15 	838.15 	838.15 	- 	1.30%
Feb 09, 2018 	827.41 	827.41 	827.41 	827.41 	- 	-1.13%
Feb 08, 2018 	836.83 	836.83 	836.83 	836.83 	- 	-0.77%
Feb 07, 2018 	843.34 	843.34 	843.34 	843.34 	- 	1.90%
Feb 06, 2018 	827.62 	827.62 	827.62 	827.62 	- 	-2.15%
Feb 05, 2018 	845.80 	845.80 	845.80 	845.80 	- 	-0.56%
Feb 02, 2018 	850.54 	850.54 	850.54 	850.54 	- 	-1.14%
Feb 01, 2018 	860.36 	860.36 	860.36 	860.36 	- 	0.90%
