EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 country codes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 75 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT
18954,HJELVIK - MYRBOE                        ,NO,+62:36:31,+007:13:45,  35
18960,EVENSKJER                               ,NO,+68:35:01,+016:34:09,   7
19167,E134 VATS                               ,NO,+59:34:11,+005:42:09,  50
18966,TRONDHEIM II                            ,NO,+63:25:35,+010:25:04,  58
18974,MAKEROEY                                ,NO,+59:09:28,+010:26:25,  43
18979,TROMSOE I                               ,NO,+69:39:07,+018:57:00,  38
18987,LOEN                                    ,NO,+61:52:22,+006:51:25,  39
18989,ROEST III                               ,NO,+67:31:30,+012:06:14,   4
18991,BERGEN - FREDRIKSBERG                   ,NO,+60:23:48,+005:18:31,  41
18998,KRISTIANSUND N                          ,NO,+63:06:37,+007:45:06,  48
19172,GRANE                                   ,NO,+65:35:21,+013:22:42,  66
19001,ANDOEYA LH - TEST                       ,NO,+69:15:48,+016:10:48,  13
19004,RANA - BASMOEN                          ,NO,+66:19:54,+014:06:08,  40
19007,ROEST                                   ,NO,+67:30:22,+012:04:08,   8
19006,BROENNOEYSUND                           ,NO,+65:28:00,+012:12:00,   4
19016,OSLO - OBSERVATORIET (HYTTE)            ,NO,+59:54:46,+010:43:03,  25
19019,HYLSFJORDEN                             ,NO,+59:32:43,+006:21:41,  15
19038,MANDAL                                  ,NO,+58:01:43,+007:27:35,   6
19039,FISTER                                  ,NO,+59:10:36,+006:04:06,   1
