EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
 2590,109851,SARPSBORG                               ,NO,+59:17:09,+011:06:53,  57,TG21,19911201,20201231,   22,Hans Olav Hygen                                   
 2590,199092,OSAKER                                  ,NO,+59:19:09,+011:02:32,  45,TG21,20130101,20201231,   22,Hans Olav Hygen                                   
 2590,200816,KALNES                                  ,NO,+59:18:55,+011:02:56,  56,TG21,19570101,19820730,   22,Hans Olav Hygen                                   
 2590,901493,SARPSBORG                               ,NO,+59:17:00,+011:07:00,  57, TG5,20060128,20200229,     ,                    
 2656,110449,KJEVIK                                  ,NO,+58:12:01,+008:04:06,  12,TG21,19460101,20201231,   22,Hans Olav Hygen                                   
 2656,901452,KRISTIANSAND/KJEVIK                     ,NO,+58:12:00,+008:05:00,  17, TG5,19820113,20200229,     ,                    
 2669,110574,OBRESTAD FYR                            ,NO,+58:39:33,+005:33:19,  24,TG21,19540101,20201231,   22,Hans Olav Hygen                                   
 2669,901412,OBRESTAD                                ,NO,+58:39:00,+005:34:00,  26, TG5,19820113,20200229,     ,                    
 2230,110655,BERGEN/FLESLAND                         ,NO,+60:17:21,+005:13:35,  48,TG21,19551002,20201231,   22,Hans Olav Hygen                                   
 2230,901317,BERGEN/FLORIDA                          ,NO,+60:23:00,+005:20:00,  36, TG5,19820113,20200229,     ,                    
 2685,110727,SLATTEROY FYR                           ,NO,+59:54:30,+005:04:06,  25,TG21,19540101,20201231,   22,Hans Olav Hygen                                   
 2685,901406,SLATTEROY LH                            ,NO,+59:55:00,+005:04:00,  26, TG5,19820113,20200229,     ,                    
 2709,110943,ORSKOG                                  ,NO,+62:28:44,+006:49:12,   4,TG21,20141117,20201231,   22,Hans Olav Hygen                                   
 2709,199685,E39 SVORTA                              ,NO,+62:28:58,+006:38:45,  20,TG21,20140101,20201231,   22,Hans Olav Hygen                                   
 2709,200821,SKODJE                                  ,NO,+62:30:00,+006:41:00,  26,TG21,19610101,20200830,   22,Hans Olav Hygen                                   
 2727,111113,NORDOYAN FYR                            ,NO,+64:47:52,+010:32:57,  33,TG21,19510101,20201231,   22,Hans Olav Hygen                                   
 2727,901262,NORDOYAN LH                             ,NO,+64:48:00,+010:33:00,  33, TG5,19820113,20200229,     ,                    
 2733,105468,BODOE VI                                ,NO,+67:16:02,+014:21:32,  11,TG21,19540101,20201231,   22,Hans Olav Hygen                                   
 2733,111167,BODOE - VAGONES                         ,NO,+67:17:00,+014:28:00,  33,TG21,19940115,20140630,   22,Hans Olav Hygen                                   
 2733,199182,RV80 HUNSTAD                            ,NO,+67:16:42,+014:31:02,  25,TG21,20140101,20201120,   22,Hans Olav Hygen                                   
 2733,199438,RV80 BERTNES                            ,NO,+67:17:16,+014:35:36,  30,TG21,20140101,20201231,   22,Hans Olav Hygen                                   
 2750,111320,TORSVAG FYR                             ,NO,+70:14:45,+019:30:02,  21,TG21,19540101,20201231,   22,Hans Olav Hygen                                   
 2750,901033,TORSVAG LH                              ,NO,+70:15:00,+019:30:00,  24, TG5,19820113,20200229,     ,                    
 2754,111356,MAKKAUR FYR                             ,NO,+70:42:02,+030:04:05,   9,TG21,19540101,20201231,   22,Hans Olav Hygen                                   
 2754,901092,MAKKAUR LH                              ,NO,+70:42:00,+030:05:00,   9, TG5,19820113,20200229,     ,                    
 2755,111365,ISFJORD RADIO                           ,NO,+78:04:00,+013:38:00,   7,TG21,19340901,20201231,   22,Hans Olav Hygen                                   
 2756,111374,SVEAGRUVA                               ,NO,+77:53:00,+016:43:00,   9,TG21,19780501,20201231,   22,Hans Olav Hygen                                   
 1052,112073,VAERNES                                 ,NO,+63:30:00,+010:53:24,  12,TG21,19460101,20201231,   22,Hans Olav Hygen                                   
 2215,112082,ANDOYA                                  ,NO,+69:18:00,+016:09:00,  14,TG21,19580601,20201231,   22,Hans Olav Hygen                                   
 2215,157206,ANDENES                                 ,NO,+69:19:25,+016:07:12,   5,TG21,18670710,19720331,   22,Hans Olav Hygen                                   
 2215,200880,ANDOEYA LH - TEST                       ,NO,+69:15:48,+016:10:48,  13,TG21,20050823,20090524,   22,Hans Olav Hygen                                   
 2215,901010,ANDOYA                                  ,NO,+69:18:00,+016:08:00,  14, TG5,19820113,20160104,     ,                    
